"job_count",title,"company_name",location,"source_url",schedule
1,"Kỹ Thuật Viên Sửa Chữa Laptop/ Điện Thoại  - Kinh Nghiệm 1 Năm Hoặc Từng Làm IT Helpdesk - Lương 12 - 20 Triệu (TP.HCM)","CÔNG TY TNHH CITY ONE VIỆT NAM","- Hồ Chí Minh: 1E 3 Tháng 2, Phường Vườn Lài (Quận 10 cũ)","https://www.topcv.vn/viec-lam/ky-thuat-vien-sua-chua-laptop-dien-thoai-kinh-nghiem-1-nam-hoac-tung-lam-it-helpdesk-luong-12-20-trieu-tp-hcm/2095287.html","Thứ 2 - Thứ 4 (từ 08:00 đến 17:00)
Thứ 4 - Thứ 7 (từ 13:00 đến 21:00)
C1: 8h00 đến 17h00 nghỉ trưa 12h00-13h00 (nghỉ trưa 1 tiếng, 8h làm việc)
C2: 13h00 đến 21h00 nghỉ chiều 18h00 đến 19h ăn chiều
1 tháng làm 2 Chủ Nhật cố định 8h00 - 21h00 bao gồm cả Lễ.
Tháng nghỉ 2 chủ nhật +  1 ngày nghỉ phép có hưởng lương"
1,"Kỹ Thuật Viên Sửa Chữa Laptop/ Điện Thoại  - Kinh Nghiệm 1 Năm Hoặc Từng Làm IT Helpdesk - Lương 12 - 20 Triệu (TP.HCM)","CÔNG TY TNHH CITY ONE VIỆT NAM","- Hồ Chí Minh: 195 Nguyễn Thái Học, Phường Bến Thành (Quận 1 cũ)","https://www.topcv.vn/viec-lam/ky-thuat-vien-sua-chua-laptop-dien-thoai-kinh-nghiem-1-nam-hoac-tung-lam-it-helpdesk-luong-12-20-trieu-tp-hcm/2095287.html","Thứ 2 - Thứ 4 (từ 08:00 đến 17:00)
Thứ 4 - Thứ 7 (từ 13:00 đến 21:00)
C1: 8h00 đến 17h00 nghỉ trưa 12h00-13h00 (nghỉ trưa 1 tiếng, 8h làm việc)
C2: 13h00 đến 21h00 nghỉ chiều 18h00 đến 19h ăn chiều
1 tháng làm 2 Chủ Nhật cố định 8h00 - 21h00 bao gồm cả Lễ.
Tháng nghỉ 2 chủ nhật +  1 ngày nghỉ phép có hưởng lương"
1,"Chuyên Viên Thiết Kế Đồ Họa","MICC GROUP","- Hà Nội: Sao biển 23, Ocean Park 1, Xã Gia Lâm (huyện Gia Lâm cũ)","https://www.topcv.vn/viec-lam/chuyen-vien-thiet-ke-do-hoa/2152262.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
Thứ 7 (từ 08:00 đến 12:00)
Nghỉ chiều thứ 7 và chủ nhật"
1,"Chuyên Viên Thiết Kế Đồ Họa","MICC GROUP","- Hà Nội: Số 3 Dương Đình Nghệ, Phường Cầu Giấy (quận Cầu Giấy cũ)","https://www.topcv.vn/viec-lam/chuyen-vien-thiet-ke-do-hoa/2152262.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
Thứ 7 (từ 08:00 đến 12:00)
Nghỉ chiều thứ 7 và chủ nhật"
1,"Nhân Viên Bảo Trì Mạng","Công Ty TNHH Nhà Hàng Ba Vui","- Hồ Chí Minh: 234 Ngô Tất Tố, Phường Thạnh Mỹ Tây (quận Bình Thạnh cũ)","https://www.topcv.vn/viec-lam/nhan-vien-bao-tri-mang/2039170.html","Thứ 2 - Chủ nhật (từ 16:00 đến 02:00)"
1,"Quản Trị Hệ Thống & Thiết Bị Cửa Hàng","Hộ Kinh Doanh Sửa Chữa Bảo Hành 1 (One)","- Hồ Chí Minh: 721 Trường Chinh, Phường Tây Thạnh (quận Tân Phú cũ)","https://www.topcv.vn/viec-lam/quan-tri-he-thong-thiet-bi-cua-hang/1760464.html","Thứ 2 - Chủ nhật (từ 08:00 đến 17:30)
C1: 8h00 đến 17h00 nghỉ trưa 12h00-13h00 (nghĩ trưa 1 tiếng, 8h làm việc)
C2: 13h đến 21h00 nghỉ chiều 18h00 đến 19h ăn chiều (nv ăn, nghĩ vào làm,  không tính giờ nghĩ trong ca này trừ công 8h làm việc)"
1,"Graphic Designer Kiêm Video Editor","CÔNG TY CỔ PHẦN ANVY","- Hà Nội: Lô A5/D21, Ngõ 11 Duy Tân, Khu đô thị mới Cầu Giấy, Phường Cầu Giấy (quận Cầu Giấy cũ)","https://www.topcv.vn/viec-lam/graphic-designer-kiem-video-editor/2137420.html","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Nghỉ chủ nhật và 2 thứ 7/tháng"
1,"Thiết Kế Đồ Họa (Graphic Design)","Công ty TNHH Viện Thẩm Mỹ Quốc Tế Royal","- Hồ Chí Minh: 382 Nguyễn Văn Luông, Phường Phú Lâm (Quận 6 cũ)","https://www.topcv.vn/viec-lam/thiet-ke-do-hoa-graphic-design/2082251.html","Thứ 2 - Chủ nhật (từ 08:00 đến 17:30)
Khung thời gian làm việc: 8h00 - 17h30 (nghỉ trưa 12h00 -13h30) từ Thứ 2 đến Chủ nhật (Nghỉ 4 ngày/ tháng)"
1,"Developer Lập Trình Web","CÔNG TY TNHH BCVV","- Hưng Yên: Ân Thi , Bắc Sơn (cũ), Xã Phạm Ngũ Lão (huyện Ân Thi cũ)","https://www.topcv.vn/viec-lam/developer-lap-trinh-web/2009757.html","Thứ 2 - Thứ 6 ()
Thời gian làm việc: từ thứ 2 – thứ 6, nghỉ thứ 7 – CN và lễ theo quy định."
1,"Marketing Xử Lý Tài Nguyên Video ( Animation)","CÔNG TY TRÁCH NHIỆM HỮU HẠN BG MEDIA","- Nghệ An: 25, Nguyễn Thị Minh Khai, Phường Thành Vinh (Thành phố Vinh cũ)","https://www.topcv.vn/viec-lam/marketing-xu-ly-tai-nguyen-video-animation/2123107.html","Thứ 2 - Thứ 6 (từ 07:45 đến 17:30)
Làm việc từ thứ 2 đến thứ 6 hàng tuần, Thứ 7 tuần làm tuần nghỉ, Chủ Nhật Nghỉ, Lễ Tết nghỉ theo quy định."
